time,pos1,pos2,vel1,vel2,acc1,acc2,tau0,tau1
0.051,0.00255206,-0.0287764,0.0360773,-0.927141,-2.35640000000002,-8.54599999999999,-0.965607,-0.560699
0.052,0.00258692,-0.0297077,0.0336433,-0.935442,-2.434,-8.301,-0.968375,-0.561495
0.053,0.00261932,-0.0306472,0.0311337,-0.943504,-2.5096,-8.06200000000001,-0.97112,-0.56229
0.054,0.00264916,-0.0315946,0.0285504,-0.951332,-2.5833,-7.82799999999994,-0.973842,-0.563084
0.055,0.00267639,-0.0325497,0.0258952,-0.958932,-2.6552,-7.60000000000004,-0.976541,-0.563876
0.056,0.00270093,-0.0335124,0.02317,-0.966309,-2.7252,-7.37699999999996,-0.979216,-0.564668
0.057,0.00272271,-0.0344823,0.0203766,-0.973468,-2.7934,-7.15900000000002,-0.981868,-0.565458
0.058,0.00274166,-0.0354593,0.0175166,-0.980414,-2.86,-6.946,-0.984496,-0.566247
0.059,0.00275772,-0.0364431,0.0145918,-0.987154,-2.92480000000002,-6.74000000000001,-0.987101,-0.567034
0.06,0.00277082,-0.0374335,0.0116038,-0.99369,-2.988,-6.53599999999998,-0.989683,-0.567819
0.061,0.0027809,-0.0384304,0.00855432,-1.00003,-3.04948,-6.34000000000001,-0.992242,-0.568602
0.062,0.0027879,-0.0394335,0.00544494,-1.00618,-3.10938,-6.15000000000009,-0.994776,-0.569382
0.063,0.00279177,-0.0404427,0.00227724,-1.01213,-3.1677,-5.94999999999989,-0.997288,-0.570161
0.064,0.00279244,-0.0414577,-0.000947245,-1.01791,-3.224485,-5.78000000000011,-0.999775,-0.570937
0.065,0.00278986,-0.0424784,-0.004227,-1.0235,-3.279755,-5.58999999999998,-1.00224,-0.57171
0.066,0.00278396,-0.0435046,-0.00756054,-1.02892,-3.33354,-5.41999999999998,-1.00468,-0.572481
0.067,0.00277471,-0.0445362,-0.0109464,-1.03417,-3.38586,-5.24999999999997,-1.0071,-0.573248
0.068,0.00276205,-0.0455729,-0.0143832,-1.03925,-3.4368,-5.07999999999997,-1.00949,-0.574013
0.069,0.00274593,-0.0466146,-0.0178695,-1.04417,-3.4863,-4.92000000000003,-1.01186,-0.574775
0.07,0.0027263,-0.0476612,-0.0214039,-1.04893,-3.5344,-4.75999999999987,-1.0142,-0.575533
0.071,0.00270311,-0.0487124,-0.0249851,-1.05353,-3.58120000000005,-4.60000000000022,-1.01653,-0.576288
0.072,0.00267631,-0.0497682,-0.0286118,-1.05798,-3.6267,-4.44999999999984,-1.01882,-0.577039
0.073,0.00264587,-0.0508284,-0.0322827,-1.06229,-3.67089999999999,-4.31000000000003,-1.0211,-0.577787
0.074,0.00261173,-0.0518927,-0.0359965,-1.06645,-3.7138,-4.15999999999994,-1.02335,-0.578531
0.075,0.00257386,-0.0529612,-0.0397519,-1.07046,-3.7554,-4.01000000000007,-1.02557,-0.579271
0.076,0.00253221,-0.0540336,-0.0435478,-1.07435,-3.79589999999999,-3.88999999999995,-1.02778,-0.580007
0.077,0.00248675,-0.0551099,-0.047383,-1.07809,-3.8352,-3.74000000000007,-1.02995,-0.580739
0.078,0.00243743,-0.0561898,-0.0512562,-1.08171,-3.8732,-3.61999999999995,-1.03211,-0.581467
0.079,0.00238422,-0.0572732,-0.0551664,-1.0852,-3.91019999999999,-3.48999999999999,-1.03424,-0.582191
0.08,0.00232708,-0.0583601,-0.0591124,-1.08856,-3.946,-3.36000000000003,-1.03634,-0.58291
0.081,0.00226598,-0.0594503,-0.063093,-1.0918,-3.98059999999999,-3.24000000000013,-1.03842,-0.583624
0.082,0.00220089,-0.0605437,-0.0671073,-1.09493,-4.0143,-3.12999999999985,-1.04048,-0.584334
0.083,0.00213176,-0.0616401,-0.0711541,-1.09793,-4.0468,-3.00000000000011,-1.04251,-0.585039
0.084,0.00205857,-0.0627395,-0.0752324,-1.10083,-4.0783,-2.8999999999999,-1.04452,-0.585739
0.085,0.00198128,-0.0638418,-0.0793412,-1.10361,-4.10879999999999,-2.78,-1.0465,-0.586435
0.086,0.00189987,-0.0649467,-0.0834794,-1.10628,-4.13820000000005,-2.66999999999998,-1.04846,-0.587125
0.087,0.00181431,-0.0660543,-0.0876461,-1.10885,-4.16670000000001,-2.56999999999996,-1.0504,-0.58781
0.088,0.00172457,-0.0671644,-0.0918402,-1.11132,-4.19409999999999,-2.47000000000019,-1.05231,-0.58849
0.089,0.00163062,-0.0682769,-0.096061,-1.11369,-4.22079999999999,-2.36999999999998,-1.05419,-0.589164
